Date,Percentage,Volume,Open,High,Low
25-02-2022,297.31,32546720,$295.14,$297.63,$291.655
24-02-2022,294.59,56989690,$272.51,$295.16,$271.52
23-02-2022,280.27,37811170,$290.18,$291.7,$280.1
22-02-2022,287.72,41736120,$285,$291.54,$284.5
18-02-2022,287.93,34264010,$293.05,$293.86,$286.305
17-02-2022,290.73,32461580,$296.36,$296.8,$290
16-02-2022,299.5,29982120,$298.365,$300.87,$293.68
15-02-2022,300.47,27379490,$300.008,$300.8,$297.02
14-02-2022,295,36359490,$293.77,$296.76,$291.35
11-02-2022,295.04,39175620,$303.19,$304.29,$294.22
10-02-2022,302.38,45386200,$304.04,$309.12,$300.7
09-02-2022,311.21,31284670,$309.865,$311.93,$307.39
08-02-2022,304.56,32421190,$301.25,$305.561,$299.95
07-02-2022,300.95,28533290,$306.17,$307.84,$299.9
04-02-2022,305.94,35096490,$300.21,$308.8,$299.97
03-02-2022,301.25,43729970,$309.49,$311.23,$299.96
02-02-2022,313.46,36635990,$309.63,$315.12,$308.88
01-02-2022,308.76,40950400,$310.41,$310.63,$305.1293
31-01-2022,310.98,46444540,$308.95,$312.38,$306.37
28-01-2022,308.26,49743700,$300.23,$308.48,$294.45
27-01-2022,299.84,53481320,$302.66,$307.3,$297.93
26-01-2022,296.71,90428850,$307.985,$308.5,$293.03
25-01-2022,288.49,72848640,$291.52,$294.99,$285.17
24-01-2022,296.37,86035390,$292.2,$297.11,$276.05
21-01-2022,296.03,57984400,$302.685,$304.11,$295.61
20-01-2022,301.6,35380680,$309.07,$311.6494,$301.14
19-01-2022,303.33,45933860,$306.29,$313.9093,$302.7
18-01-2022,302.65,42434110,$304.07,$309.8,$301.74
14-01-2022,310.2,39846410,$304.25,$310.82,$303.75
13-01-2022,304.8,45365980,$320.466,$320.88,$304
12-01-2022,318.27,34372220,$319.67,$323.41,$317.08
11-01-2022,314.98,29386770,$313.38,$316.61,$309.89
10-01-2022,314.27,44289470,$309.485,$314.72,$304.69
07-01-2022,314.04,32720020,$314.15,$316.5,$310.09
06-01-2022,313.88,39646150,$313.15,$318.7,$311.49
05-01-2022,316.38,40054330,$325.86,$326.07,$315.98
04-01-2022,329.01,32674310,$334.83,$335.2,$326.12
03-01-2022,334.75,28918010,$335.35,$338,$329.78
31-12-2021,336.32,18000800,$338.51,$339.355,$335.85
30-12-2021,339.32,15994470,$341.91,$343.13,$338.82
29-12-2021,341.95,15041960,$341.3,$344.3,$339.68
28-12-2021,341.25,15661470,$343.15,$343.81,$340.32
27-12-2021,342.45,19947030,$335.46,$342.48,$335.43
23-12-2021,334.69,19617850,$332.75,$336.39,$332.73
22-12-2021,333.2,24831490,$328.3,$333.605,$325.75
21-12-2021,327.29,24740600,$323.29,$327.73,$319.8
20-12-2021,319.91,28326530,$320.05,$322.8,$317.57
