Date,Percentage,Volume,Open,High,Low
20-12-2021,169.75,107499100,168.28,170.58,167.46
17-12-2021,171.14,195923400,169.93,173.47,169.69
16-12-2021,172.26,150185800,179.28,181.14,170.75
15-12-2021,179.30,131063300,175.11,179.5,172.3108
14-12-2021,174.33,139380400,175.25,177.74,172.21
13-12-2021,175.74,153237000,181.115,182.13,175.53
10-12-2021,179.45,115402700,175.205,179.63,174.69
09-12-2021,174.56,108923700,174.91,176.75,173.92
08-12-2021,175.08,116998900,172.125,175.96,170.7
07-12-2021,171.18,120405400,169.08,171.58,168.34
06-12-2021,165.32,107497000,164.29,167.8799,164.28
03-12-2021,161.84,118023100,164.02,164.96,159.72
02-12-2021,163.76,136739200,158.735,164.2,157.8
